entrezgene_id_A	entrezgene_id_B	biogrid_id_A	gene_symbol_A	biogrid_id_B	gene_symbol_B	interaction_detection_method	publication_first_author	publication_year	publication_identifier	taxid_interactor_A	taxid_interactor_B	interaction_identifier
5479	819	111475	PPIB	107269	CAMLG	MI:0018	Bram RJ 	1994	7522304	9606	9606	4648
1465	1465	107847	CSRP1	107847	CSRP1	MI:0018	Feuerstein R 	1994	7938009	9606	9606	4660
1445	3643	107832	CSK	109854	INSR	MI:0018	Arbet-Engels C 	1999	10026153	9606	9606	4826
1445	3480	107832	CSK	109701	IGF1R	MI:0018	Arbet-Engels C 	1999	10026153	9606	9606	4830
1634	1956	108002	DCN	108276	EGFR	MI:0018	Santra M 	2002	12105206	9606	9606	4867
6493	405	112384	SIM2	106898	ARNT	MI:0018	Probst MR 	1997	9020169	9606	9606	4947
6492	405	112383	SIM1	106898	ARNT	MI:0018	Probst MR 	1997	9020169	9606	9606	4967
266743	405	129335	NPAS4	106898	ARNT	MI:0018	Ooe N 	2004	14701734	9606	9606	4988
1839	7704	108172	HBEGF	113498	ZBTB16	MI:0018	Nanba D 	2003	14597771	9606	9606	4995
5111	1647	111142	PCNA	108014	GADD45A	MI:0018	Smith ML 	1994	7973727	9606	9606	5021
11073	7155	116256	TOPBP1	113008	TOP2B	MI:0018	Yamane K 	1997	9461304	9606	9606	5148
2316	1814	108605	FLNA	108148	DRD3	MI:0018	Li M 	2002	11911837	9606	9606	5190
27258	6635	118105	LSM3	112519	SNRPE	MI:0018	Lehner B 	2004	15231747	9606	9606	5248
25804	6635	117336	LSM4	112519	SNRPE	MI:0018	Lehner B 	2004	15231747	9606	9606	5253
23658	6635	117180	LSM5	112519	SNRPE	MI:0018	Lehner B 	2004	15231747	9606	9606	5256
2033	1958	108347	EP300	108278	EGR1	MI:0018	Silverman ES 	1998	9806899	9606	9606	5262
1387	1958	107777	CREBBP	108278	EGR1	MI:0018	Silverman ES 	1998	9806899	9606	9606	5271
4926	2035	110980	NUMA1	108349	EPB41	MI:0018	Mattagajasingh SN 	1999	10189366	9606	9606	5336
54512	1915	120007	EXOSC4	108237	EEF1A1	MI:0018	Lehner B 	2004	15231747	9606	9606	5347
5335	1915	111351	PLCG1	108237	EEF1A1	MI:0018	Chang JS 	2002	11886851	9606	9606	5350
3895	1936	110092	KTN1	108256	EEF1D	MI:0018	Ong LL 	2003	12773547	9606	9606	5361
3791	308	109992	KDR	106805	ANXA5	MI:0018	Wen Y	1999	10329451	9606	9606	5438
133522	2099	126361	PPARGC1B	108403	ESR1	MI:0018	Kressler D 	2002	11854298	9606	9606	5719
6597	2099	112481	SMARCA4	108403	ESR1	MI:0018	Ichinose H 	1997	9099865	9606	9606	5799
79039	2099	122503	DDX54	108403	ESR1	MI:0018	Rajendran RR 	2003	12466272	9606	9606	5818
2099	30836	108403	ESR1	119052	DNTTIP2	MI:0018	Bu H 	2004	15047147	9606	9606	5832
2260	2224	108551	FGFR1	108517	FDPS	MI:0018	Reilly JF 	2002	12020352	9606	9606	5977
7040	2339	112898	TGFB1	108625	FNTA	MI:0018	Wang T 	1996	8599089	9606	9606	5981
7341	355	113188	SUMO1	106851	FAS	MI:0018	Okura T 	1996	8906799	9606	9606	6000
51678	2512	119675	MPP6	108789	FTL	MI:0018	Lehner B 	2004	15231747	9606	9606	6064
7916	2243	113646	PRRC2A	108534	FGA	MI:0018	Lehner B 	2004	14667819	9606	9606	6085
2316	3688	108605	FLNA	109894	ITGB1	MI:0018	van der Flier A 	2002	11807098	9606	9606	6219
2260	10817	108551	FGFR1	116030	FRS3	MI:0018	Xu H 	1998	9660748	9606	9606	6310
2566	11337	108840	GABRG2	116465	GABARAP	MI:0018	Nymann-Andersen J 	2002	11948245	9606	9606	6549
2810	2908	109072	SFN	109165	NR3C1	MI:0018	Kino T 	2003	12730237	9606	9606	6630
7041	2908	112899	TGFB1I1	109165	NR3C1	MI:0018	Yang L 	2000	10848625	9606	9606	6631
2908	11319	109165	NR3C1	116450	ECD	MI:0018	Sato T 	1999	9928932	9606	9606	6651
2645	5208	108915	GCK	111229	PFKFB2	MI:0018	Baltrusch S 	2001	11522786	9606	9606	6722
3309	1801	109541	HSPA5	108135	DPH1	MI:0018	Salicioni AM 	2000	11013075	9606	9606	6764
6514	3838	112405	SLC2A2	110036	KPNA2	MI:0018	Guillemain G 	2002	11988093	9606	9606	6781
6517	1616	112408	SLC2A4	107985	DAXX	MI:0018	Lalioti VS 	2002	11842083	9606	9606	6786
