uniprotkb_A	uniprotkb_B	biogrid_A	biogrid_B	gene_symbol_A	gene_symbol_B	interaction_detection_method	publication_first_author	publication_year	publication_identifier	interaction_type	interaction_identifier
P30281	Q9UBQ5	107336	118148	CCND3	EIF3K	MI:0018	Shen X	2004	15327989	MI:0407	4549
Q15311	P14635	116131	107332	RALBP1	CCNB1	MI:0018	Rosse C	2003	12775724	MI:0407	4608
P23284	P49069	111475	107269	PPIB	CAMLG	MI:0018	Bram RJ	1994	7522304	MI:0407	4648
P21291	P21291	107847	107847	CSRP1	CSRP1	MI:0018	Feuerstein R	1994	7938009	MI:0407	4660
P41240	P06213	107832	109854	CSK	INSR	MI:0018	Arbet	1999	10026153	MI:0407	4826
P41240	P08069	107832	109701	CSK	IGF1R	MI:0018	Arbet	1999	10026153	MI:0407	4830
P07585	P00533	108002	108276	DCN	EGFR	MI:0018	Santra M	2002	12105206	MI:0407	4867
Q14190	P27540	112384	106898	SIM2	ARNT	MI:0018	Probst MR	1997	9020169	MI:0407	4947
P81133	P27540	112383	106898	SIM1	ARNT	MI:0018	Probst MR	1997	9020169	MI:0407	4967
Q8IUM7	P27540	129335	106898	NPAS4	ARNT	MI:0018	Ooe N	2004	14701734	MI:0407	4988
Q99075	Q05516	108172	113498	HBEGF	ZBTB16	MI:0018	Nanba D	2003	14597771	MI:0407	4995
P12004	P24522	111142	108014	PCNA	GADD45A	MI:0018	Smith ML	1994	7973727	MI:0407	5021
Q92547	Q02880	116256	113008	TOPBP1	TOP2B	MI:0018	Yamane K	1997	9461304	MI:0407	5148
P21333	P35462	108605	108148	FLNA	DRD3	MI:0018	Li M	2002	11911837	MI:0407	5190
P62310	P62304	118105	112519	LSM3	SNRPE	MI:0018	Lehner B	2004	15231747	MI:0407	5248
Q9Y4Z0	P62304	117336	112519	LSM4	SNRPE	MI:0018	Lehner B	2004	15231747	MI:0407	5253
Q9Y4Y9	P62304	117180	112519	LSM5	SNRPE	MI:0018	Lehner B	2004	15231747	MI:0407	5256
